result,1,2,3,4,5,6,7,8,9
1,164,239,131,6,206,176,74,22,3
-1,82,55,76,72,164,81,248,185,52
1,204,72,18,146,194,140,31,189,49
-1,163,147,58,67,240,104,190,131,245
-1,209,0,152,112,249,147,246,219,57
1,93,45,249,174,228,10,22,94,21
1,235,217,225,251,15,34,68,148,111
-1,51,12,126,112,210,143,232,111,230
-1,101,169,8,136,137,22,241,31,20
1,218,250,249,45,155,231,189,14,72
1,116,161,253,180,254,68,71,78,218
-1,52,194,191,114,146,251,129,126,240
-1,182,29,73,172,118,118,203,165,56
1,220,85,131,24,216,1,93,7,251
-1,45,33,243,94,121,241,155,121,128
-1,239,139,47,234,28,52,166,118,202
-1,185,155,220,36,246,213,201,150,214
1,219,228,29,204,15,163,210,38,204
-1,58,162,114,169,47,158,152,35,204
1,219,210,197,49,9,150,0,92,243
-1,7,182,26,9,77,25,64,31,252
1,93,133,114,134,157,5,40,89,112
-1,64,212,116,245,17,240,194,209,154
-1,116,26,73,111,29,158,145,239,156
-1,126,80,229,16,153,220,14,249,207
1,231,107,244,199,74,110,179,177,146
-1,153,152,65,0,238,28,177,104,115
1,152,9,173,131,124,28,76,175,46
-1,5,80,149,177,128,53,42,104,145
-1,135,33,11,254,164,133,60,112,13
1,251,68,201,141,121,33,53,149,90
1,227,216,241,246,183,245,17,147,216
1,109,99,188,71,103,116,73,61,4
1,253,221,29,236,56,56,63,173,103
-1,72,73,210,103,123,146,243,92,166
-1,79,155,4,177,123,155,22,25,224
-1,142,170,49,182,25,103,195,99,239
-1,236,82,80,192,147,141,78,231,146
-1,23,194,34,193,80,114,37,164,114
1,237,185,188,138,222,213,89,134,151
1,100,12,87,31,68,247,50,86,50
1,232,193,219,72,142,253,213,231,13
-1,200,167,12,152,235,152,25,192,184
-1,122,27,72,114,160,174,105,111,60
-1,87,27,187,220,49,217,226,237,100
1,220,112,219,101,141,185,6,248,125
1,141,52,182,29,149,85,253,44,66
-1,107,200,144,55,120,99,162,165,234
1,186,158,236,142,196,72,2,35,138
1,133,233,236,227,9,173,54,220,48
-1,184,181,132,13,158,22,247,245,30
-1,81,93,150,201,74,86,240,92,221
1,241,19,167,109,161,81,55,178,31
1,197,143,214,89,230,242,40,203,181
-1,127,19,99,133,62,0,187,220,125
1,171,189,190,68,167,254,187,73,7
-1,0,127,103,52,131,56,145,61,59
1,176,255,208,151,218,54,254,15,76
1,195,156,197,4,220,96,81,124,39
-1,22,101,32,254,217,166,180,213,204
-1,3,55,47,253,156,71,47,86,167
-1,60,74,42,78,184,185,39,154,241
1,199,232,154,243,15,6,43,235,206
-1,75,179,255,166,254,79,199,248,253
-1,41,13,227,184,18,13,181,167,123
1,135,90,247,81,134,234,189,139,51
1,221,220,217,238,162,153,98,42,196
-1,168,65,89,50,206,243,244,239,39
-1,105,120,46,165,135,0,237,145,247
1,234,162,239,180,27,88,64,133,68
-1,113,37,149,163,70,123,186,251,65
1,174,203,240,18,67,43,156,91,71
-1,25,52,95,244,69,99,5,119,141
-1,78,58,27,195,165,36,187,40,211
-1,19,235,255,75,94,8,184,111,217
-1,22,202,3,4,79,50,128,57,223
1,193,60,121,72,61,251,12,74,189
-1,187,34,128,100,19,125,241,122,238
1,55,208,213,0,93,172,39,111,176
1,206,226,152,122,19,211,94,115,21
1,25,211,142,118,157,195,92,48,203
1,219,69,1,241,223,120,11,32,200
1,237,142,204,242,48,82,33,43,112
-1,115,7,70,31,125,212,58,173,248
-1,89,246,34,104,173,85,175,12,189
-1,47,196,0,130,96,17,198,12,248
-1,117,46,252,64,214,81,146,80,222
-1,4,164,133,84,62,250,133,71,212
1,152,170,21,138,123,205,7,134,46
1,222,203,159,220,49,224,147,139,81
1,112,207,189,198,212,183,30,141,138
-1,114,239,84,100,56,57,74,245,179
1,239,77,253,228,141,52,150,109,95
-1,100,243,91,73,152,71,148,216,76
-1,133,212,91,18,131,98,255,251,25
-1,20,112,4,196,190,209,238,30,133
-1,44,60,71,66,213,168,146,208,137
-1,206,184,1,182,130,211,173,198,137
-1,45,182,189,240,152,193,169,236,122
-1,49,172,30,140,198,211,218,211,183
-1,176,0,165,107,36,216,109,228,77
1,228,239,233,217,81,54,136,59,237
-1,101,192,193,72,42,107,207,187,230
1,199,209,139,254,216,37,2,84,57
1,241,32,130,39,149,4,15,52,150
-1,127,43,175,23,64,141,159,171,205
1,133,215,95,228,144,174,80,30,30
1,141,155,243,194,116,46,112,244,49
1,170,217,13,195,204,62,141,0,165
1,145,208,53,134,233,157,49,101,69
1,144,17,232,158,177,47,75,175,7
-1,98,93,102,98,63,58,24,147,173
1,245,107,75,115,158,185,46,17,212
1,156,235,114,27,193,107,38,84,87
-1,113,168,134,31,252,242,211,120,209
-1,0,91,90,88,246,78,30,144,75
1,199,154,14,210,39,141,66,30,126
1,154,239,95,203,165,7,91,7,10
1,225,94,231,133,94,94,95,176,66
1,87,157,246,224,217,89,148,48,140
-1,61,194,246,70,86,18,236,141,172
1,100,110,245,16,24,220,69,108,65
-1,66,53,76,55,182,189,57,40,98
-1,69,96,38,79,20,79,76,244,7
1,151,119,213,188,180,201,43,165,178
-1,117,59,135,173,40,13,196,231,119
-1,166,227,47,233,60,211,26,181,236
1,52,188,20,140,226,166,73,97,41
-1,195,129,168,255,138,170,227,236,244
-1,94,133,93,152,91,34,225,182,224
-1,141,17,110,101,174,77,240,185,57
1,64,118,144,43,151,204,0,29,191
1,255,5,23,115,44,212,22,155,9
-1,64,223,210,185,213,88,132,191,239
-1,102,66,249,229,169,50,216,228,172
1,53,185,177,172,112,56,120,115,109
1,94,84,164,44,198,85,80,51,202
-1,233,65,239,135,80,89,241,213,129
-1,224,51,112,39,210,16,55,234,120
-1,15,59,255,160,192,119,104,148,255
-1,124,38,5,49,128,218,237,176,198
-1,120,87,45,146,145,95,15,32,233
1,158,249,169,159,209,249,184,46,244
1,117,228,166,220,31,193,14,56,83
1,248,146,36,148,98,150,206,71,77
1,228,108,156,5,26,105,36,237,14
-1,222,10,135,138,230,101,214,200,86
1,174,183,66,214,179,42,220,166,16
-1,38,243,35,48,153,112,241,6,168
-1,128,15,130,201,82,3,206,219,175
1,215,197,214,91,222,83,209,245,81
-1,194,114,55,67,215,161,123,183,131
1,195,87,242,153,61,48,35,129,244
-1,177,197,9,121,161,85,66,232,182
-1,222,116,179,86,189,101,229,155,186
1,216,153,184,95,57,237,223,59,164
1,218,99,75,16,66,114,18,238,64
-1,105,102,139,135,141,8,202,151,169
-1,23,84,19,252,89,171,141,10,105
1,132,199,232,201,69,36,152,78,108
-1,61,191,74,214,237,66,118,173,151
-1,93,237,75,181,79,135,86,254,80
-1,152,140,71,58,176,167,147,203,25
1,233,140,230,96,234,205,86,92,28
-1,184,243,137,193,118,164,225,222,214
-1,133,174,95,118,201,221,221,115,239
-1,75,104,49,14,224,121,51,51,178
-1,180,42,82,248,192,245,207,45,253
1,117,114,60,120,73,76,55,69,126
-1,138,114,187,176,2,8,213,104,137
-1,25,141,49,124,3,160,40,203,13
-1,14,24,170,178,234,71,17,164,138
1,87,113,226,106,221,101,112,164,128
1,243,83,253,244,117,136,86,167,180
1,214,120,185,74,31,81,132,59,145
-1,208,104,22,110,107,92,247,29,94
-1,19,136,77,213,109,153,151,160,253
-1,139,240,90,38,93,178,203,67,240
-1,13,63,172,221,15,150,250,74,140
-1,94,51,104,116,229,151,187,230,166
-1,48,26,180,122,150,8,239,107,206
1,54,130,86,227,198,240,84,167,18
-1,158,110,18,188,51,133,212,17,109
-1,203,129,166,22,28,212,224,109,239
-1,166,64,7,147,62,226,150,97,90
-1,166,89,67,123,26,255,174,156,174
-1,235,88,30,30,176,144,196,176,75
1,120,58,148,102,154,136,241,60,2
1,81,159,153,84,105,136,251,48,3
-1,92,246,89,24,236,175,252,229,0
-1,182,172,50,71,15,127,217,186,112
1,179,160,251,149,50,73,136,110,206
1,241,116,246,116,1,18,77,249,68
-1,13,33,82,30,40,56,255,61,63
1,176,15,218,222,92,170,95,159,68
1,80,238,253,105,184,202,125,151,117
1,145,9,249,166,146,199,39,214,49
1,76,117,227,173,145,160,38,176,176
-1,62,148,69,245,83,100,0,68,237
-1,153,145,56,105,131,38,48,164,191
1,200,70,220,128,251,88,9,40,244
1,250,200,113,8,185,52,235,169,61
-1,105,24,102,15,44,198,135,143,154
-1,66,121,203,198,218,23,203,74,199
-1,61,189,12,66,153,4,204,236,34
1,72,237,221,213,216,70,159,60,66
1,108,122,115,39,57,191,67,113,103
1,149,97,161,208,183,121,121,12,130
-1,155,183,54,255,25,168,250,41,185
-1,179,3,96,43,225,241,180,71,230
-1,186,89,79,252,104,72,172,103,167
-1,142,81,213,29,14,165,83,208,198
1,181,166,221,19,145,81,192,156,135
1,241,28,139,66,83,2,6,58,11
-1,66,2,190,27,234,41,3,253,82
1,192,70,141,29,66,249,27,114,70
1,97,96,63,172,130,16,5,132,14
1,114,209,99,20,112,155,173,31,133
1,161,26,157,249,161,102,151,21,110
1,96,246,113,31,64,194,45,230,129
-1,15,125,78,119,9,174,6,204,210
1,128,208,134,202,13,78,71,160,124
1,127,225,65,58,197,78,136,23,149
1,238,230,245,161,48,91,94,206,90
-1,52,81,123,227,3,96,250,218,112
1,237,228,41,62,245,44,160,24,113
1,32,227,216,234,224,62,29,140,214
1,252,220,117,7,111,34,116,93,26
-1,55,39,58,223,153,84,108,171,2
1,241,22,31,88,170,107,44,152,70
-1,100,43,136,192,32,27,47,243,211
1,102,24,227,79,226,175,37,137,172
-1,61,123,75,8,20,89,182,117,159
1,154,110,218,101,138,221,255,0,220
1,137,168,129,44,164,127,97,128,12
-1,50,27,119,80,231,19,135,234,239
-1,76,1,219,85,208,241,244,136,14
-1,94,215,214,23,58,59,188,172,168
1,149,253,63,239,241,81,79,20,143
1,239,180,250,147,213,159,238,189,133
-1,49,96,29,3,102,93,197,242,196
-1,127,27,238,149,218,146,102,207,166
-1,38,235,189,6,131,146,210,36,228
-1,159,56,134,232,99,180,196,23,186
-1,52,44,101,161,60,86,202,137,95
-1,24,243,100,62,103,81,170,144,196
1,54,245,80,176,161,40,36,139,188
-1,118,6,12,72,63,217,171,72,55
-1,98,1,89,202,138,53,11,129,96
-1,225,64,44,34,64,192,209,89,43
1,186,113,144,23,66,89,139,130,59
1,215,226,205,156,21,230,142,124,247
1,166,255,120,202,18,197,218,211,93
1,212,15,244,46,202,235,14,127,242
-1,122,11,80,32,30,79,174,9,154
1,202,204,7,245,214,137,90,184,118
-1,195,61,238,233,221,8,124,254,126
1,127,215,238,204,10,193,119,93,143
-1,9,170,44,150,183,44,72,181,181
1,85,18,227,80,157,7,9,93,194
1,81,32,249,118,11,46,125,132,101
1,187,179,235,42,241,101,162,138,134
1,96,170,137,75,209,251,137,75,47
-1,112,201,148,193,206,230,226,167,217
1,39,238,161,107,0,177,181,55,130
-1,56,20,106,45,10,251,37,182,135
-1,126,148,111,212,233,255,174,153,148
1,254,214,220,97,121,5,1,160,22
-1,41,205,86,92,226,239,199,138,115
-1,221,6,244,173,54,136,243,226,79
1,241,186,155,114,128,105,99,243,74
1,192,164,228,207,63,24,78,170,218
-1,73,98,51,150,4,129,8,176,103
1,135,165,197,13,181,212,111,151,199
1,15,157,192,149,115,48,50,0,134
-1,171,112,203,172,246,164,236,63,233
1,225,214,94,93,60,93,96,140,216
-1,223,220,74,63,88,168,113,239,254
-1,106,42,0,60,78,122,156,145,31
-1,125,29,156,60,233,37,233,176,198
-1,50,103,175,115,66,158,241,71,182
-1,100,57,144,169,82,10,234,147,244
-1,127,125,117,176,93,66,215,126,155
1,173,225,123,81,68,222,224,196,93
-1,94,14,33,214,27,149,138,5,91
-1,176,181,110,74,162,40,231,128,140
-1,64,108,73,136,198,102,95,156,247
1,154,236,149,215,26,186,171,19,253
1,165,107,102,237,155,136,26,58,135
1,173,245,255,242,228,39,71,136,127
1,134,49,235,96,61,162,178,29,72
1,185,127,92,107,116,55,9,138,168
1,64,169,91,40,51,217,242,13,21
1,206,52,61,97,212,197,201,31,12
1,69,223,73,185,205,212,12,4,192
1,214,169,51,255,181,239,121,51,159
-1,30,230,59,83,230,219,101,204,158
1,159,189,72,183,162,103,154,17,218
-1,115,70,97,240,222,30,84,175,136
1,112,166,215,181,87,246,1,92,55
-1,3,44,119,91,60,192,1,18,195
1,134,148,201,115,77,72,212,26,180
1,255,44,54,215,22,252,75,150,20
-1,12,252,132,224,195,105,139,83,220
1,89,70,76,129,60,219,67,99,13
-1,33,14,22,208,224,156,117,178,216
1,38,166,234,22,186,123,242,26,34
-1,79,124,13,45,65,6,69,202,79
1,170,89,192,133,181,15,84,164,109
1,121,60,68,186,28,109,21,58,156
1,208,190,178,39,61,73,200,14,195
-1,40,111,166,168,197,102,70,191,88
1,11,202,192,148,49,182,57,100,243
1,199,180,172,168,150,38,154,155,205
-1,13,100,98,228,229,230,89,157,207
-1,224,110,149,146,207,174,220,203,64
-1,190,193,17,42,123,84,129,163,159
1,96,254,149,58,170,75,49,73,30
-1,62,56,107,241,149,158,242,15,21
1,147,5,251,242,152,189,121,152,100
1,224,139,104,31,114,38,95,253,79
1,80,251,82,254,164,249,109,202,63
-1,149,87,177,61,16,241,73,226,250
-1,167,188,125,93,178,235,223,204,104
1,148,49,74,159,231,36,82,102,19
-1,107,71,158,43,54,49,131,207,94
1,190,181,197,104,105,57,216,208,38
-1,11,49,98,77,132,207,36,34,172
1,104,252,119,197,219,207,68,114,6
1,98,34,226,74,64,166,127,158,49
1,147,214,13,73,148,2,11,133,221
-1,146,156,36,93,86,164,7,128,209
-1,116,67,68,254,32,96,171,6,108
-1,53,232,111,116,217,120,92,184,212
1,132,210,131,231,69,112,19,51,109
-1,167,204,70,127,61,167,214,39,214
1,156,36,138,69,45,137,138,77,34
-1,191,117,31,179,118,180,110,5,236
1,124,226,211,77,72,93,168,168,20
-1,137,160,203,46,213,204,135,236,165
-1,20,30,77,186,238,12,170,98,207
1,203,31,228,80,200,19,98,210,117
1,197,170,73,103,167,206,85,15,122
1,192,207,209,199,113,251,13,46,185
-1,247,175,81,37,64,149,166,134,248
-1,150,185,86,224,39,190,224,234,192
1,191,91,252,243,88,221,135,7,191
1,92,203,109,134,84,81,23,50,17
1,73,130,237,102,214,78,120,71,224
-1,72,43,23,102,216,103,77,170,57
1,218,219,46,33,150,3,47,230,134
1,227,22,133,176,157,244,55,44,235
-1,139,229,92,224,96,220,236,220,65
-1,148,192,128,14,126,218,192,224,144
1,78,85,199,7,249,7,84,183,54
-1,72,18,2,246,204,140,249,109,109
-1,177,70,159,92,228,212,244,159,16
1,85,212,200,195,16,95,175,55,25
1,236,164,39,6,0,55,8,173,35
1,176,159,231,89,236,15,189,193,1
1,94,91,215,219,2,50,25,7,56
-1,9,21,249,103,228,104,217,33,97
1,211,132,245,241,209,132,37,129,158
1,109,96,172,82,252,95,8,173,56
-1,73,0,49,42,44,76,14,110,66
1,221,73,185,230,101,7,24,237,38
-1,65,50,142,55,42,42,71,174,85
1,151,187,134,224,245,63,117,140,154
1,1,194,159,238,219,10,193,29,29
1,227,112,75,159,243,80,243,33,100
1,133,91,177,173,200,168,38,233,29
1,83,194,251,3,28,246,62,97,70
-1,91,151,36,111,35,242,162,224,198
1,219,115,62,0,15,51,37,13,18
1,51,225,187,215,161,144,147,22,198
-1,221,190,27,77,15,152,200,17,229
1,228,96,51,162,219,182,217,95,53
1,248,20,80,253,30,13,219,60,32
1,204,190,89,83,2,102,4,76,124
1,34,171,188,212,70,175,89,109,65
-1,21,142,79,252,196,188,247,200,16
-1,11,176,154,2,128,243,140,86,229
1,139,221,16,100,59,113,137,28,185
1,109,102,158,159,204,11,24,99,178
-1,58,223,150,96,4,107,96,217,159
-1,205,41,18,90,107,105,69,37,226
-1,13,4,3,183,250,182,20,60,183
-1,28,25,57,46,197,70,239,109,235
1,146,226,220,135,11,2,41,76,18
-1,65,63,181,42,41,92,204,139,103
-1,10,107,76,214,18,82,116,68,118
1,6,147,213,140,15,117,194,123,36
1,228,60,243,54,57,170,75,17,96
1,48,208,22,17,104,138,70,62,68
-1,76,228,124,93,147,18,186,205,59
-1,70,147,74,240,183,99,234,20,230
-1,27,52,248,73,254,223,148,78,155
-1,66,81,68,202,100,82,124,113,89
-1,86,104,234,100,240,67,112,205,151
1,207,216,79,194,168,181,14,36,75
1,216,25,239,134,177,229,12,152,83
-1,79,235,181,6,104,55,203,106,219
-1,106,113,22,204,181,166,246,39,160
-1,44,227,137,241,129,177,201,224,63
1,174,182,203,117,106,40,94,158,199
-1,27,202,67,126,232,231,227,172,198
1,240,212,149,17,50,111,57,162,227
1,117,196,177,175,198,244,20,110,148
1,153,61,185,101,176,113,43,52,105
1,82,214,2,89,223,116,57,4,122
1,104,101,75,177,75,132,35,56,169
-1,71,1,49,231,218,4,220,138,116
1,242,88,175,216,181,132,24,2,95
-1,66,115,61,0,72,143,110,201,84
1,112,207,250,45,229,20,129,163,28
1,201,147,157,58,70,67,255,111,112
-1,150,83,62,139,174,156,214,99,121
1,135,139,175,118,103,32,221,184,8
1,175,90,141,22,109,230,23,35,179
1,52,215,248,47,244,203,193,124,1
1,114,219,97,50,195,82,30,52,26
-1,207,34,76,17,159,107,144,86,188
1,239,64,233,187,197,117,50,28,232
-1,73,22,198,80,17,178,239,208,44
-1,59,117,81,61,3,31,14,197,86
1,194,243,68,198,167,37,152,97,193
-1,133,75,98,62,168,103,123,184,95
-1,93,97,42,227,13,192,128,130,98
1,125,66,213,152,56,189,23,79,67
-1,88,117,66,162,45,135,247,162,97
1,188,179,0,33,78,142,149,15,100
1,220,145,201,214,68,127,174,220,151
1,196,164,154,113,139,220,35,200,240
-1,176,38,133,91,32,221,30,149,184
1,233,156,132,23,82,64,198,199,111
-1,3,40,199,149,250,165,14,236,143
-1,108,70,29,231,100,252,14,75,197
-1,73,24,159,23,229,190,239,205,138
-1,106,2,0,138,122,41,244,59,227
-1,0,205,30,248,197,252,87,99,221
1,251,133,75,119,215,228,79,230,119
1,134,73,224,128,202,86,146,213,39
-1,73,43,180,109,99,59,244,254,110
-1,26,117,104,152,110,162,123,177,240
-1,181,201,147,222,219,250,255,251,195
1,188,135,91,97,108,41,21,68,242
-1,61,3,121,109,131,119,18,175,193
-1,126,123,86,124,236,139,115,72,214
1,175,200,183,39,131,207,130,93,26
1,61,154,158,183,222,229,43,87,14
-1,111,140,109,201,28,179,157,49,194
-1,184,38,53,173,236,31,189,139,41
1,84,175,64,145,61,184,53,67,142
-1,27,47,7,237,64,145,142,17,88
1,212,212,239,17,9,202,97,213,143
1,217,70,105,251,89,144,87,101,22
-1,135,111,7,195,34,241,39,216,197
1,219,203,122,179,79,216,45,137,222
-1,64,128,76,185,214,120,52,133,243
1,86,32,223,245,186,61,201,66,4
-1,28,2,244,61,65,119,94,165,143
-1,75,39,160,193,67,132,188,52,117
-1,85,29,76,241,142,254,139,63,223
-1,196,68,66,248,63,7,135,164,82
1,79,247,177,39,15,225,38,217,62
-1,46,220,0,223,157,196,123,201,6
1,220,169,160,191,166,24,186,160,4
-1,72,132,19,28,235,231,55,203,72
-1,144,4,143,214,102,196,105,153,140
-1,2,107,159,68,110,32,146,104,90
-1,42,33,194,134,140,70,88,222,212
1,223,253,240,174,89,48,98,17,212
1,70,80,237,144,115,201,174,4,36
1,53,171,219,28,29,18,31,184,20
1,186,26,226,95,70,211,65,244,46
-1,137,19,183,60,251,218,72,241,179
1,148,179,204,100,237,81,238,28,106
1,202,4,124,6,172,248,35,131,47
-1,187,212,9,26,81,88,129,233,70
-1,127,56,147,148,224,38,195,69,235
1,251,253,58,184,238,189,49,224,175
-1,209,7,50,254,162,163,215,75,129
-1,42,14,196,127,114,46,254,81,142
1,254,59,137,112,113,134,218,75,138
-1,18,4,37,89,21,2,174,204,60
-1,12,153,138,43,69,201,36,234,120
1,223,229,82,148,46,235,72,157,194
1,198,252,233,178,248,80,223,208,205
-1,164,247,18,237,163,237,239,120,106
-1,153,97,11,138,136,85,110,111,60
1,197,168,126,7,104,88,74,218,53
-1,57,132,200,236,15,109,197,36,240
1,103,153,65,116,156,182,25,152,20
1,171,244,83,74,7,75,42,5,75
-1,96,96,96,59,215,183,204,188,148
1,20,142,220,225,104,83,194,33,109
1,230,133,133,118,154,246,78,224,156
1,180,183,82,124,76,186,220,208,1
1,240,51,190,85,165,91,138,228,50
1,250,185,49,170,42,50,14,113,76
-1,58,203,6,238,85,197,49,176,119
1,220,203,29,232,5,183,90,116,129
-1,3,221,29,28,43,96,73,239,150
-1,84,24,88,87,47,76,198,30,63
1,148,57,161,36,143,218,3,47,64
-1,219,145,55,37,42,87,61,249,124
-1,55,96,226,78,34,239,241,4,153
-1,112,104,176,106,255,103,241,174,57
-1,5,222,82,141,158,112,200,111,7
1,138,96,106,145,188,224,52,7,35
1,150,117,219,210,65,132,119,79,102
1,238,56,243,149,134,57,67,38,85
1,50,244,151,238,238,162,65,90,28
1,16,212,254,184,106,153,137,51,224
-1,99,104,3,151,202,176,197,139,153
-1,236,57,33,210,76,167,249,242,63
-1,37,203,96,222,198,23,114,173,111
-1,114,146,75,38,49,66,158,101,133
1,209,223,211,66,139,78,121,127,183
1,104,208,174,254,167,226,52,107,18
-1,50,198,8,255,50,83,67,149,173
1,231,251,204,237,197,165,12,97,81
1,40,124,114,157,224,163,184,23,25
-1,17,132,91,201,21,176,93,38,193
-1,8,99,31,249,84,233,14,63,177
1,248,196,187,195,134,187,232,175,8
1,84,162,117,151,217,144,111,25,46
-1,114,134,200,72,28,254,212,49,232
-1,146,42,164,38,97,86,7,133,255
1,184,48,237,218,197,158,9,186,113
-1,81,214,13,189,231,106,191,52,254
-1,198,50,146,152,110,75,205,151,187
1,176,126,43,222,247,177,139,59,84
1,91,194,116,252,93,133,211,71,116
-1,94,242,69,64,151,160,182,215,174
-1,46,75,160,43,130,214,175,37,202
-1,43,196,183,122,167,169,209,87,139
1,87,97,136,180,155,76,28,26,12
1,196,165,175,211,230,250,6,128,106
-1,141,29,57,167,179,10,96,72,207
-1,20,225,91,162,190,166,205,164,144
-1,17,108,118,226,161,74,248,77,138
-1,101,191,27,220,182,76,140,18,217
-1,58,134,57,242,2,255,60,157,248
-1,224,29,45,171,226,210,192,134,212
1,235,216,76,152,130,179,134,26,210
1,51,251,219,241,155,114,130,18,75
1,193,13,124,142,16,143,10,151,30
-1,36,67,225,41,176,118,103,196,109
-1,9,208,168,203,136,11,91,247,241
-1,213,118,124,26,202,45,227,61,227
1,245,255,117,228,88,177,122,1,2
1,103,69,182,241,235,200,57,140,144
-1,106,10,155,155,55,217,250,98,204
1,200,98,203,70,209,68,147,208,10
1,219,111,81,38,213,16,186,21,1
1,248,85,64,199,183,206,33,119,51
1,255,91,211,74,24,56,25,225,100
1,158,224,209,13,131,82,68,25,251
1,215,115,241,104,122,150,33,105,172
-1,179,69,82,229,209,141,95,194,124
-1,177,16,79,250,1,177,11,236,213
1,210,91,220,96,202,107,72,245,41
-1,42,13,129,87,12,199,64,42,123
-1,123,121,227,169,103,177,122,214,155
1,128,73,6,41,175,228,77,44,21
1,54,224,221,179,5,82,140,155,43
-1,36,135,8,17,166,151,73,188,29
-1,139,77,229,14,131,112,236,52,206
-1,45,203,18,131,115,200,174,119,175
1,219,122,195,71,253,121,145,99,117
-1,90,155,138,55,246,135,125,253,43
1,234,148,205,166,31,109,225,153,192
1,219,214,218,5,154,35,160,138,27
1,239,199,94,186,200,123,133,124,131
-1,9,21,23,198,102,99,154,253,88
-1,68,35,10,62,212,133,172,212,182
1,146,252,157,168,52,147,160,102,164
1,39,156,88,130,30,25,48,39,164
1,229,144,182,123,227,225,60,118,197
1,120,209,187,221,201,119,130,183,201
1,190,154,196,59,197,10,131,185,75
-1,48,231,207,218,206,58,215,254,149
-1,106,114,138,238,125,107,77,188,163
-1,236,140,62,181,71,128,165,151,159
1,15,198,227,33,153,108,92,92,107
1,106,148,117,9,93,92,9,124,138
1,230,117,1,164,125,5,80,172,10
1,2,229,234,214,189,74,139,35,7
1,75,247,53,4,10,18,27,75,89
1,192,165,49,236,242,36,0,209,28
-1,113,122,140,123,211,196,46,224,201
1,64,234,156,232,11,92,56,44,15
-1,127,136,200,128,200,213,255,31,207
-1,2,38,202,168,109,108,141,199,170
1,138,237,54,10,58,213,53,148,37
1,103,224,160,241,4,151,156,129,15
1,28,129,240,198,150,75,100,58,236
-1,63,67,214,37,128,186,236,102,149
1,53,169,141,206,70,118,76,63,26
1,118,173,113,112,33,224,47,110,69
-1,50,245,104,178,77,93,182,68,213
-1,250,97,185,90,240,151,181,239,251
1,172,101,141,57,121,50,191,36,144
1,231,232,219,82,93,237,27,173,89
-1,222,137,44,71,92,202,247,204,140
1,240,133,248,212,195,119,176,210,90
1,208,151,23,38,32,226,93,164,30
-1,49,104,124,118,114,219,169,10,172
-1,97,116,33,209,105,226,179,249,151
1,188,136,217,210,55,119,96,121,212
1,12,17,179,94,202,89,16,88,23
-1,180,204,46,152,225,251,194,89,179
-1,93,160,158,42,238,89,207,201,141
1,210,250,90,189,78,120,232,215,58
1,70,166,243,131,255,14,174,181,114
-1,114,95,90,34,112,137,106,47,251
1,64,88,245,38,148,16,93,147,150
1,196,161,219,4,214,33,210,37,141
-1,125,60,145,60,37,87,176,166,148
-1,148,73,24,192,72,30,192,90,13
1,115,232,188,178,165,215,47,65,254
1,252,159,15,119,249,207,75,55,94
-1,46,202,178,36,214,117,99,185,164
1,56,119,252,175,97,162,112,89,83
1,193,152,139,250,176,160,159,186,70
1,241,172,101,226,115,10,89,173,151
-1,206,74,108,140,139,156,159,239,15
-1,240,235,26,16,220,22,77,194,251
1,28,228,44,141,239,120,146,16,71
1,124,117,242,18,131,94,106,204,126
1,198,224,154,2,20,3,176,68,143
1,122,192,79,15,87,190,43,224,1
-1,93,80,66,173,178,157,64,202,158
-1,108,105,107,2,221,248,144,5,253
-1,24,51,163,228,246,26,45,168,212
1,98,227,153,161,24,235,26,158,113
1,13,182,249,38,38,215,15,141,23
-1,12,11,123,13,159,127,212,106,171
1,251,124,108,115,237,183,122,130,229
-1,26,114,23,220,96,196,5,252,84
-1,100,145,56,28,36,110,207,182,35
-1,201,59,176,202,167,206,205,172,223
1,23,26,251,211,192,126,138,56,103
-1,39,136,70,189,231,231,218,242,39
-1,42,2,192,250,96,253,7,154,215
1,136,139,235,58,246,121,48,13,106
-1,22,27,189,199,67,49,127,214,119
-1,96,57,32,20,28,189,191,164,111
1,241,14,247,201,74,26,168,248,13
-1,65,72,51,245,111,200,157,153,69
-1,17,165,184,57,98,165,35,250,147
-1,54,113,196,7,53,234,211,178,240
1,246,57,98,199,183,56,122,159,111
-1,57,252,127,38,143,63,246,83,249
1,241,121,50,215,79,4,66,70,239
-1,92,0,86,244,214,196,42,208,98
1,231,212,92,188,239,113,135,44,233
-1,121,234,44,55,56,238,41,158,203
-1,43,215,161,250,56,56,247,127,89
-1,230,24,79,29,179,79,83,251,91
1,202,134,187,239,57,119,56,11,68
-1,32,186,48,215,113,8,254,149,5
-1,0,17,86,244,91,179,232,13,164
1,99,167,193,26,6,130,67,166,97
1,252,130,245,220,245,41,147,249,104
-1,62,50,115,57,225,208,20,211,9
-1,152,16,88,180,25,166,227,132,77
-1,77,48,138,119,58,242,243,119,144
1,215,20,252,204,206,194,176,108,118
-1,160,10,80,189,105,222,134,154,108
-1,86,132,48,133,84,75,8,210,226
1,66,167,192,82,133,254,210,50,29
1,112,60,198,108,255,250,70,54,95
1,235,210,15,196,164,2,131,80,95
-1,97,28,39,35,232,12,48,208,149
1,249,151,153,128,193,34,79,165,96
-1,30,59,145,110,86,220,164,114,35
1,110,95,242,195,239,67,111,17,181
-1,89,45,95,73,10,154,120,130,238
-1,192,4,52,171,220,9,154,200,56
